Symbol,Exchange,Sector,Company name,Country
AWHCL.NS,NSE,Miscellaneous,Antony Waste Handling Cell Limited,India
AWL.NS,NSE,Edible Oil,Adani Wilmar Limited,India
AXISBANK.NS,NSE,Bank - Private,Axis Bank Limited,India
AXISCADES.NS,NSE,IT - Software,AXISCADES Engineering Technologies Limited,India
AXISILVER.NS,NSE,Finology One,Axis AMC Ltd. - Axis Mutual Fund - Axis Silver Etf,India
AXITA.NS,NSE,Textile,Axita Cotton Limited,India
AYMSYNTEX.NS,NSE,Textile,AYM Syntex Limited,India
BAFNAPH.NS,NSE,Pharmaceuticals & Drugs,Bafna Pharmaceuticals Limited,India
BAGFILMS.NS,NSE,"Film Production, Distribution & Entertainment",B.A.G. Films and Media Limited,India
BAHETI.SM.NS,NSE,Not Available,BAHETI RECYCLING I,India
BAIDFIN.NS,NSE,Finance - NBFC,Baid Finserv Limited,India
BAJAJ.AUTO.NS,NSE,Not Available,Bajaj Auto Limited,India
BAJAJCON.NS,NSE,Household & Personal Products,Bajaj Consumer Care Limited,India
BAJAJELEC.NS,NSE,Consumer Durables - Domestic Appliances,Bajaj Electricals Limited,India
BAJAJFINSV.NS,NSE,Finance - Investment,Bajaj Finserv Limited,India
BAJAJFINSV.BL.NS,NSE,Not Available,BAJAJ FINSERV LTD,India
BAJAJHCARE.NS,NSE,Pharmaceuticals & Drugs,Bajaj HealthCare Limited,India
BAJAJHIND.NS,NSE,Sugar,Bajaj Hindusthan Sugar Limited,India
BAJAJHLDNG.NS,NSE,Finance - NBFC,Bajaj Holdings & Investment Limited,India
BAJFINANCE.NS,NSE,Finance - NBFC,Bajaj Finance Limited,India
BALAJITELE.NS,NSE,"Film Production, Distribution & Entertainment",Balaji Telefilms Limited,India
BALAMINES.NS,NSE,Chemicals,Balaji Amines Limited,India
BALAXI.NS,NSE,Trading,Balaxi Ventures Limited,India
BALKRISHNA.NS,NSE,Paper & Paper Products,Balkrishna Paper Mills Limited,India
BALKRISIND.NS,NSE,Tyres & Allied,Balkrishna Industries Limited,India
BALLARPUR.NS,NSE,Paper & Paper Products,Ballarpur Industries Limited,India
BALMLAWRIE.NS,NSE,Diversified,Balmer Lawrie & Co. Ltd.,India
BALPHARMA.NS,NSE,Pharmaceuticals & Drugs,Bal Pharma Limited,India
BALRAMCHIN.NS,NSE,Sugar,Balrampur Chini Mills Limited,India
BANARBEADS.NS,NSE,Glass,Banaras Beads Limited,India
BANARISUG.NS,NSE,Sugar,Bannari Amman Sugars Limited,India
BANCOINDIA.NS,NSE,Auto Ancillary,Banco Products ,India
BANDHANBNK.NS,NSE,Bank - Private,Bandhan Bank Limited,India
BANG.NS,NSE,Textile,Bang Overseas Limited,India
BANKA.NS,NSE,Engineering - Construction,Banka BioLoo Limited,India
BANKBARODA.NS,NSE,Bank - Public,Bank of Baroda,India
BANKINDIA.NS,NSE,Bank - Public,Bank of India Limited,India
BANSWRAS.NS,NSE,Textile - Manmade  Fibres,Banswara Syntex Limited,India
BARBEQUE.NS,NSE,"Hotel, Resort & Restaurants",Barbeque Nation Hospitality Ltd.,India
BARTRONICS.NS,NSE,Finology One,Bartronics India Limited,India
BASF.NS,NSE,Pesticides & Agrochemicals,BASF India Limited,India
BASML.NS,NSE,Textile - Spinning,Bannari Amman Spinning Mills Ltd,India
BATAINDIA.NS,NSE,Retailing,Bata India Limited,India
BAYERCROP.NS,NSE,Pesticides & Agrochemicals,Bayer CropScience Limited,India
BBL.NS,NSE,Electric Equipment,Bharat Bijlee Limited,India
BBOX.NS,NSE,Telecommunication - Equipment,Black Box Limited,India
BBTC.NS,NSE,Agriculture,"The Bombay Burmah Trading Corporation, Limited",India
BBTCL.NS,NSE,Paper & Paper Products,B&B Triplewall Containers Limited,India
BCG.NS,NSE,IT - Software,Brightcom Group Limited,India
BCLIND.NS,NSE,Edible Oil,BCL Industries Limited,India
BCONCEPTS.NS,NSE,Trading,Brand Concepts Limited,India
BCP.NS,NSE,Metal - Non Ferrous,B.C. Power Controls Limited,India
BDL.NS,NSE,Defence,Bharat Dynamics Limited,India
BEARDSELL.NS,NSE,Chemicals,Beardsell Limited,India
BECTORFOOD.NS,NSE,Consumer Food,Mrs. Bectors Food Specialities Limited,India
BEDMUTHA.NS,NSE,Steel & Iron Products,Bedmutha Industries Limited,India
BEL.NS,NSE,Engineering - Industrial Equipments,Bharat Electronics Limited,India
BEML.NS,NSE,Engineering - Industrial Equipments,BEML Limited,India
BEPL.NS,NSE,Chemicals,Bhansali Engineering Polymers Limited,India
BERGEPAINT.NS,NSE,Paints,Berger Paints India Limited,India
BESTAGRO.NS,NSE,Pesticides & Agrochemicals,Best Agrolife Limited,India
BETA.SM.NS,NSE,Not Available,BETA DRUGS LTD,India
BEWLTD.SM.NS,NSE,Not Available,BEW ENGINEERING LT,India
BFINVEST.NS,NSE,Finance - Investment,BF Investment Limited,India
BFUTILITIE.NS,NSE,Power Generation/Distribution,BF Utilities Limited,India
BGLOBAL.NS,NSE,IT - Software,Bharatiya Global Infomedia Limited,India
BGRENERGY.NS,NSE,Engineering - Construction,BGR Energy Systems Limited,India
BHAGCHEM.NS,NSE,Pesticides & Agrochemicals,Bhagiradha Chemicals & Industries Limited,India
BHAGERIA.NS,NSE,Dyes & Pigments,Bhageria Industries Limited,India
BHAGYANGR.NS,NSE,Metal - Non Ferrous,Bhagyanagar India Limited,India
BHANDARI.NS,NSE,Textile,Bhandari Hosiery Exports Limited,India
BHARATFORG.NS,NSE,Forgings,Bharat Forge Limited,India
BHARATGEAR.NS,NSE,Auto Ancillary,Bharat Gears Limited,India
BHARATRAS.NS,NSE,Pesticides & Agrochemicals,Bharat Rasayan Limited,India
BHARATWIRE.NS,NSE,Metal - Non Ferrous,Bharat Wire Ropes Limited,India
BHARTIARTL.NS,NSE,Telecommunication - Service  Provider,Bharti Airtel Limited,India
BHEL.NS,NSE,Engineering - Industrial Equipments,Bharat Heavy Electricals Limited,India
BIGBLOC.NS,NSE,Construction - Real Estate,Bigbloc Construction Limited,India
BIKAJI.NS,NSE,Consumer Food,Bikaji Foods International Limited,India
BIL.NS,NSE,Leather,Bhartiya International Limited,India
BILENERGY.NS,NSE,Finology One,Bil Energy Systems Limited,India
BINANIIND.NS,NSE,Diversified,Binani Industries Limited,India
BINDALAGRO.NS,NSE,Finance - Investment,Oswal Greentech Limited,India
BIOCON.NS,NSE,Pharmaceuticals & Drugs,Biocon Limited,India
BIOFILCHEM.NS,NSE,Pharmaceuticals & Drugs,Biofil Chemicals and Pharmaceuticals Limited,India
BIRET.RR.NS,NSE,Not Available,Brookfield India RET,India
BIRLACABLE.NS,NSE,Cable,Birla Cable Limited,India
BIRLACORPN.NS,NSE,Diversified,Birla Corporation Limited,India
BIRLAMONEY.NS,NSE,Finance - Stock Broking,Aditya Birla Money Limited,India
BIRLATYRE.NS,NSE,Tyres & Allied,Birla Tyres Limited,India
BKMINDST.NS,NSE,Engineering - Industrial Equipments,BKM Industries Limited,India
BLBLIMITED.NS,NSE,Finance - Stock Broking,BLB Limited,India
BLISSGVS.NS,NSE,Pharmaceuticals & Drugs,Bliss GVS Pharma Limited,India
BLKASHYAP.NS,NSE,Construction - Real Estate,B.L. Kashyap and Sons Limited,India
BLS.NS,NSE,Miscellaneous,BLS International Services Limited,India
BLUECHIP.NS,NSE,Finance - Investment,Blue Chip India Limited,India
BLUECOAST.NS,NSE,"Hotel, Resort & Restaurants",Blue Coast Hotels Ltd,India
BLUEDART.NS,NSE,Courier  Services,Blue Dart Express Limited,India
BLUESTARCO.NS,NSE,Air Conditioners,Blue Star Limited,India
BMETRICS.SM.NS,NSE,Not Available,BOMBAY METRICS SUP,India
BODALCHEM.NS,NSE,Dyes & Pigments,Bodal Chemicals Limited,India
BOHRAIND.NS,NSE,Fertilizers,Bohra Industries Limited,India
BOMDYEING.NS,NSE,Textile,The Bombay Dyeing and Manufacturing Company Limited,India
BOROLTD.NS,NSE,Consumer Durables - Domestic Appliances,Borosil Limited,India
BORORENEW.NS,NSE,Glass,Borosil Renewables Limited,India
BOSCHLTD.NS,NSE,Auto Ancillary,Bosch Limited,India
BPCL.NS,NSE,Refineries,Bharat Petroleum Corporation Limited,India
BPL.NS,NSE,Electronics - Components,BPL Limited,India
BRFL.NS,NSE,Finology One,Bombay Rayon Fashions Limited,India
BRIGADE.NS,NSE,Construction - Real Estate,Brigade Enterprises Limited,India
BRIGHT.SM.NS,NSE,Not Available,BRIGHT SOLAR LTD,India
BRITANNIA.NS,NSE,Consumer Food,Britannia Industries Limited,India
BRNL.NS,NSE,Engineering - Construction,Bharat Road Network Limited,India
BROOKS.NS,NSE,Pharmaceuticals & Drugs,Brooks Laboratories Limited,India
BSE.NS,NSE,Finance - Others,BSE Limited,India
BSELINFRA.NS,NSE,Construction - Real Estate,BSEL Infrastructure Realty Limited,India
BSHSL.NS,NSE,Agriculture,Bombay Super Hybrid Seeds Limited,India
BSL.NS,NSE,Textile - Weaving,BSL Limited,India
BSOFT.NS,NSE,IT - Software,Birlasoft Limited,India
BTML.NS,NSE,TV Broadcasting & Software Production,Bodhi Tree Multimedia Limited,India
BTML.SM.NS,NSE,Not Available,BODHI TREE MULTIME,India
BURNPUR.NS,NSE,Cement & Construction Materials,Burnpur Cement Limited,India
BUTTERFLY.NS,NSE,Consumer Durables - Domestic Appliances,Butterfly Gandhimathi Appliances Limited,India
BVCL.NS,NSE,Cement & Construction Materials,Barak Valley Cements Limited,India
BYKE.NS,NSE,"Hotel, Resort & Restaurants",The Byke Hospitality Limited,India
CADSYS.SM.NS,NSE,Not Available,CADSYS INDIA LTD,India
CALSOFT.NS,NSE,IT - Software,California Software Company Limited,India
CAMLINFINE.NS,NSE,Chemicals,Camlin Fine Sciences Limited,India
CAMPUS.NS,NSE,Footwear,Campus Activewear Limited,India
CAMS.NS,NSE,BPO/ITeS,Computer Age Management Services Limited,India
CANBK.NS,NSE,Bank - Public,Canara Bank,India
CANDC.NS,NSE,Finology One,C & C Constructions Limited,India
CANFINHOME.NS,NSE,Finance - Housing,Can Fin Homes Limited,India
CANTABIL.NS,NSE,Textile,Cantabil Retail India Limited,India
CAPACITE.NS,NSE,Construction - Real Estate,Capacit'e Infraprojects Limited,India
CAPLIPOINT.NS,NSE,Pharmaceuticals & Drugs,Caplin Point Laboratories Limited,India
CAPTRUST.NS,NSE,Finance - NBFC,Capital Trust Limited,India
CARBORUNIV.NS,NSE,Abrasives,Carborundum Universal Limited,India
CAREERP.NS,NSE,Educational Institutions,Career Point Limited,India
CARERATING.NS,NSE,Ratings,CARE Ratings Limited,India
CARTRADE.NS,NSE,Automobiles - Dealers & Distributors,CarTrade Tech Limited,India
CARYSIL.NS,NSE,Household & Personal Products,Carysil Limited,India
CASTROLIND.NS,NSE,Lubricants,Castrol India Limited,India
CCCL.NS,NSE,Engineering - Construction,Consolidated Construction Consortium Limited,India
CCHHL.NS,NSE,"Hotel, Resort & Restaurants",Country Club Hospitality & Holidays Limited,India
CCL.NS,NSE,Tea/Coffee,CCL Products ,India
CDSL.NS,NSE,Finance - NBFC,Central Depository Services ,India
CEATLTD.NS,NSE,Tyres & Allied,CEAT Limited,India
CEBBCO.NS,NSE,Finology One,Commercial Engineers & Body Builders Co Limited,India
CELEBRITY.NS,NSE,Textile,Celebrity Fashions Limited,India
CENTENKA.NS,NSE,Textile,Century Enka Limited,India
CENTEXT.NS,NSE,Aluminium & Aluminium Products,Century Extrusions Limited,India
